source_row_group,timestamp_cycle,mapping_score,mapping_low_confidence,mapping_ambiguity_margin,inside_yahoo_daily_range_fraction,matched_samples,start_utc,end_utc,local_best_cycle,local_best_score,second_best_cycle,second_best_score,timestamp_dukascopy_exact_verified,timestamp_dukascopy_cycle_corrected,dukascopy_exact_fingerprint_matches
0,245,0.006049732272015024,False,0.03436871201692935,0.14685314685314685,286,2003-05-07 00:38:01.295000+00:00,2003-06-25 17:24:22.261000+00:00,245,0.006049732272015024,247,0.04041844428894437,True,False,6
1,245,0.0018719430753841725,False,0.012388595654150824,0.7517482517482518,286,2003-05-07 00:26:18.897000+00:00,2003-06-25 17:24:43.125000+00:00,245,0.0018719430753841725,246,0.014260538729534996,True,False,2
2,246,0.004060858282191863,False,0.010631025965100821,0.10139860139860139,286,2003-07-01 00:01:03.297000+00:00,2003-07-31 23:50:56.275000+00:00,246,0.004060858282191863,242,0.014691884247292683,True,False,1
3,243,0.02333549089958584,True,0.0009199141896552264,0.08021390374331551,187,2003-01-27 14:17:51.638000+00:00,2003-03-18 07:18:36.213000+00:00,243,0.02333549089958584,245,0.024255405089241067,False,False,0
4,247,0.004806141262404282,False,0.011930940851396482,0.0821917808219178,292,2003-09-01 00:00:04.305000+00:00,2003-09-30 23:57:53.792000+00:00,247,0.004806141262404282,252,0.016737082113800764,True,False,1
5,248,0.0049947397369543,False,0.016244418361607813,0.35333333333333333,300,2003-10-03 04:00:04.932000+00:00,2003-11-21 19:59:42.589000+00:00,248,0.0049947397369543,247,0.021239158098562114,True,False,1
6,252,0.00906776867920773,False,0.006186034952606584,0.21348314606741572,178,2004-04-19 00:00:22.437000+00:00,2004-06-07 16:34:06.307000+00:00,252,0.00906776867920773,248,0.015253803631814314,False,False,0
7,249,0.0008770085156413359,False,0.0093957940070277,0.752542372881356,295,2003-12-01 01:01:03.807000+00:00,2003-12-31 23:49:57.057000+00:00,249,0.0008770085156413359,254,0.010272802522669036,True,False,1
8,250,0.017820791745282227,False,0.002088115746112642,0.18248175182481752,274,2004-01-11 22:00:01.395000+00:00,2004-02-28 14:53:37.290000+00:00,250,0.017820791745282227,249,0.01990890749139487,True,False,1
9,250,0.001282944916773382,False,0.012309534048021771,0.7147766323024055,291,2004-01-11 04:58:14.814000+00:00,2004-02-27 21:58:57.872000+00:00,250,0.001282944916773382,254,0.013592478964795153,True,False,1
10,251,0.004447858470718023,False,0.006674488488868912,0.2,300,2004-03-01 01:00:00.315000+00:00,2004-03-31 23:59:58.235000+00:00,251,0.004447858470718023,249,0.011122346959586934,False,False,0
11,251,0.00717105097610029,False,0.016595534200178043,0.5413533834586466,266,2004-02-29 06:46:18.344000+00:00,2004-04-18 23:37:50.465000+00:00,251,0.00717105097610029,254,0.023766585176278332,True,False,1
12,252,0.0060095404378523575,False,0.01207810052837737,0.07876712328767123,292,2004-05-03 00:00:02.961000+00:00,2004-05-31 23:59:58.128000+00:00,252,0.0060095404378523575,247,0.018087640966229727,False,False,0
13,253,0.003677369092054575,False,0.009741824988334693,0.41754385964912283,285,2004-06-07 16:45:29.472000+00:00,2004-07-27 09:48:12.338000+00:00,253,0.003677369092054575,254,0.013419194080389269,True,False,1
14,253,0.006133321666364141,False,0.008508293691485723,0.041237113402061855,291,2004-06-07 16:46:14.584000+00:00,2004-07-27 09:47:56.856000+00:00,253,0.006133321666364141,254,0.014641615357849863,False,False,0
